Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
111,34346,species,Wilson's Warbler,Cardellina pusilla,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293161658,,1
112,33158,species,Rufous-collared Sparrow,Zonotrichia capensis,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293089850,,1
113,29908,species,Long-tailed Silky-flycatcher,Ptiliogonys caudatus,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293094052,,1
114,28101,species,Tropical Mockingbird,Mimus gilvus,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293189962,N,1
115,16883,species,Tufted Flycatcher,Mitrephanes phaeocercus,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293159638,,1
116,14941,species,Spot-crowned Woodcreeper,Lepidocolaptes affinis,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293159823,,1
117,4856,species,Scintillant Hummingbird,Selasphorus scintilla,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293123504,,1
118,4762,species,White-throated Mountain-gem,Lampornis castaneoventris,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293190129,,1
119,4359,species,Lesser Violetear,Colibri cyanotus,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293095325,,1
120,854,species,Black Guan,Chamaepetes unicolor,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293162492,,1
121,2314,species,Ruddy Quail-Dove,Geotrygon montana,,Selva,CR-H,07 Jan 2026,L56891795,S292929271,,1
122,7811,species,Black Vulture,Coragyps atratus,,Selva,CR-H,07 Jan 2026,L56891795,S292917645,,1
123,12836,species,Orange-chinned Parakeet,Brotogeris jugularis,,Selva,CR-H,07 Jan 2026,L56891795,S292917558,,1
124,32042,species,Olive-backed Euphonia,Euphonia gouldi,,Selva,CR-H,07 Jan 2026,L56891795,S292933993,,1
125,32018,species,Yellow-crowned Euphonia,Euphonia luteicapilla,,Selva,CR-H,07 Jan 2026,L56891795,S292927476,,1
126,954,species,Gray-headed Chachalaca,Ortalis cinereiceps,,Selva,CR-H,07 Jan 2026,L56891795,S292932568,,1
127,35783,species,Buff-throated Saltator,Saltator maximus,,Selva,CR-H,06 Jan 2026,L56891795,S292867257,,1
128,2325,species,White-tipped Dove,Leptotila verreauxi,,Selva,CR-H,06 Jan 2026,L56891795,S292867798,,1
129,13152,species,Scarlet Macaw,Ara macao,,Selva,CR-H,06 Jan 2026,L56891795,S292861495,,1
130,13149,species,Great Green Macaw,Ara ambiguus,,Selva,CR-H,06 Jan 2026,L56891795,S292806216,,1
131,10301,species,Ringed Kingfisher,Megaceryle torquata,,Selva,CR-H,06 Jan 2026,L56891795,S292788590,,1
132,11159,species,Black-cheeked Woodpecker,Melanerpes pucherani,,Selva,CR-H,06 Jan 2026,L56891795,S292780738,,1
133,17368,species,Great Kiskadee,Pitangus sulphuratus,,Selva,CR-H,06 Jan 2026,L56891795,S292765856,,1
134,35188,species,Green Honeycreeper,Chlorophanes spiza,,Selva,CR-H,06 Jan 2026,L56891795,S292829547,,1
135,34957,species,Palm Tanager,Thraupis palmarum,,Selva,CR-H,06 Jan 2026,L56891795,S292777194,,1
136,34933,species,Blue-gray Tanager,Thraupis episcopus,,Selva,CR-H,06 Jan 2026,L56891795,S292766084,,1
137,34800,species,Scarlet-rumped Tanager,Ramphocelus passerinii,,Selva,CR-H,06 Jan 2026,L56891795,S292763508,,1
138,34793,species,Crimson-collared Tanager,Ramphocelus sanguinolentus,,Selva,CR-H,06 Jan 2026,L56891795,S292765408,,1
139,33770,species,Baltimore Oriole,Icterus galbula,,Selva,CR-H,06 Jan 2026,L56891795,S292772696,,1
140,33629,species,Chestnut-headed Oropendola,Psarocolius wagleri,,Selva,CR-H,06 Jan 2026,L56891795,S292767008,,1
141,7724,species,Western Cattle-Egret,Ardea ibis,,Poas,CR-A,05 Jan 2026,L56900653,S292711304,,1
142,4952,species,Violet Sabrewing,Campylopterus hemileucurus,,Poas,CR-A,05 Jan 2026,L56900653,S292711566,,1
143,10936,species,Keel-billed Toucan,Ramphastos sulfuratus,,Selva,CR-H,05 Jan 2026,L56891795,S292707681,,1
144,10926,species,Yellow-throated Toucan,Ramphastos ambiguus,,Selva,CR-H,05 Jan 2026,L56891795,S292687900,,1
145,35174,species,Red-legged Honeycreeper,Cyanerpes cyaneus,,Selva,CR-H,05 Jan 2026,L56891795,S292676007,,1
146,33632,species,Montezuma Oropendola,Psarocolius montezuma,,Selva,CR-H,05 Jan 2026,L56891795,S292669826,,1
147,28767,species,Clay-colored Thrush,Turdus grayi,,Selva,CR-H,05 Jan 2026,L56891795,S292678703,,1
148,5111,species,Rufous-tailed Hummingbird,Amazilia tzacatl,,Selva,CR-H,05 Jan 2026,L56891795,S292668431,,1
149,17392,species,Social Flycatcher,Myiozetetes similis,,Doka,CR-A,04 Jan 2026,L56844789,S292441034,,1
150,13187,species,Crimson-fronted Parakeet,Psittacara finschi,,Hotel Pibi,CR-A,04 Jan 2026,L56823480,S292338655,,1
151,9857,species,Lesson's Motmot,Momotus lessonii,,Hotel Pibi,CR-A,04 Jan 2026,L56823480,S292357168,,1
